1	1.71	5.64	1065
1	1.78	4.38	1050
1	2.36	5.68	1185
1	1.76	6.75	1450
1	1.87	5.25	1290
1	2.15	5.05	1295
1	1.64	5.2	1045
1	1.35	7.22	1045
1	2.16	5.75	1510
1	1.48	5	1280
1	1.73	5.6	1320
1	1.73	5.4	1150
1	1.87	7.5	1547
1	1.81	7.3	1310
1	1.92	6.2	1280
1	1.57	6.6	1130
1	1.59	8.7	1680
1	3.1	5.1	845
1	1.63	5.65	780
1	3.8	4.5	770
1	1.86	3.8	1035
1	1.6	3.93	1015
1	1.81	3.52	845
1	2.05	3.58	830
1	1.77	4.8	1195
1	1.72	3.95	1285
1	1.9	4.5	915
1	1.68	4.7	1035
1	1.5	5.7	1285
1	1.66	6.9	1515
1	1.83	3.84	990
1	1.53	5.4	1235
1	1.8	4.2	1095
1	1.81	5.1	920
1	1.64	4.6	880
1	1.65	4.25	1105
1	1.5	3.7	1020
1	3.99	5.1	760
1	1.71	6.13	795
1	3.84	4.28	1035
1	1.89	5.43	1095
1	3.98	4.36	680
1	1.77	5.04	885
1	4.04	5.24	1080
1	3.59	4.9	1065
1	1.68	6.1	985
1	2.02	6.2	1060
1	1.73	8.90	1260
1	1.73	7.2	1150
1	1.65	5.6	1265
1	1.75	7.05	1190
1	1.9	6.3	1375
1	1.67	5.85	1060
1	1.73	6.25	1120
1	1.7	6.38	970
1	1.97	6	1270
1	1.43	6.8	1285
2	.94	1.95	520
2	1.1	3.27	680
2	1.36	5.75	450
2	1.25	3.8	630
2	1.13	4.45	420
2	1.45	2.95	355
2	1.21	4.6	678
2	1.01	5.3	502
2	1.17	4.68	510
2	.94	3.17	750
2	1.19	2.85	718
2	1.61	3.05	870
2	1.51	3.38	410
2	1.66	3.74	472
2	1.67	3.35	985
2	1.09	3.21	886
2	1.88	3.8	428
2	.9	4.6	392
2	2.89	2.65	500
2	.99	3.4	750
2	3.87	2.57	463
2	.92	2.5	278
2	1.81	3.9	714
2	1.13	2.2	630
2	3.86	4.8	515
2	.89	3.05	520
2	.98	2.62	450
2	1.61	2.45	495
2	1.67	2.6	562
2	2.06	2.8	680
2	1.33	1.74	625
2	1.83	2.4	480
2	1.51	3.6	450
2	1.53	3.05	495
2	2.83	2.15	290
2	1.99	3.25	345
2	1.52	2.6	937
2	2.12	2.5	625
2	1.41	2.9	428
2	1.07	4.5	660
2	3.17	2.3	406
2	2.08	3.3	710
2	1.34	2.45	562
2	2.45	2.8	438
2	1.72	2.06	415
2	1.73	2.94	672
2	2.55	2.7	315
2	1.73	3.4	510
2	1.75	3.3	488
2	1.29	2.7	312
2	1.35	2.65	680
2	3.74	2.9	562
2	2.43	2	325
2	2.68	3.8	607
2	.74	3.08	434
2	1.39	2.9	385
2	1.51	1.9	407
2	1.47	1.95	495
2	1.61	2.06	345
2	3.43	3.4	372
2	3.43	1.28	564
2	2.4	3.25	625
2	2.05	6	465
2	4.43	2.08	365
2	5.8	2.6	380
2	4.31	2.8	380
2	2.16	2.76	378
2	1.53	3.94	352
2	2.13	3	466
2	1.63	2.12	342
3	2.99	5.4	530
3	2.31	5.7	560
3	3.55	5	600
3	1.24	5.45	650
3	2.46	7.1	695
3	4.72	3.85	720
3	5.51	5	515
3	3.59	5.7	580
3	2.96	4.92	590
3	2.81	4.6	600
3	2.56	5.6	780
3	3.17	4.35	520
3	4.95	4.4	550
3	3.88	8.21	855
3	3.57	4	830
3	5.04	4.9	415
3	4.61	7.65	625
3	3.24	8.42	650
3	3.9	9.40	550
3	3.12	8.60	500
3	2.67	10.8	480
3	1.9	7.1	425
3	3.3	10.52	675
3	1.29	7.6	640
3	5.19	7.9	725
3	4.12	9.01	480
3	3.03	7.5	880
3	1.68	13	660
3	1.67	11.75	620
3	3.83	7.65	520
3	3.26	5.88	680
3	3.27	5.58	570
3	3.45	5.28	675
3	2.76	9.58	615
3	4.36	6.62	520
3	3.7	10.68	695
3	3.37	10.26	685
3	2.58	8.66	750
3	4.6	8.5	630
3	3.03	5.5	510
3	2.39	9.899999	470
3	2.51	9.7	660
3	5.65	7.7	740
3	3.91	7.3	750
3	4.28	10.2	835
3	2.59	9.3	840
3	4.1	9.2	560
